ID     | Command line                                                                                           | Date and time    | Action(s)      | Altered
    26 | install youtube-dl                                                                                     | 2022-03-31 15:39 | Install        |    2   
    25 | install mpv                                                                                            | 2022-03-31 15:38 | Install        |   14   
    24 | install sxhkd                                                                                          | 2022-03-31 15:34 | Install        |    1   
    23 | install cmake                                                                                          | 2022-03-31 15:20 | Install        |    7   
    22 | install stacer                                                                                         | 2022-03-31 15:18 | Install        |    2   
    21 | remove neofetch                                                                                        | 2022-03-31 15:17 | Removed        |   22   
    20 | install neofetch                                                                                       | 2022-03-31 15:14 | Install        |   22   
    19 | install make automake gcc gcc-c++ kernel-devel                                                         | 2022-03-31 15:13 | Install        |    9   
    18 | install @development-tools                                                                             | 2022-03-31 15:11 | Install        |   40 EE
    17 | install neovim                                                                                         | 2022-03-31 14:55 | Install        |   10   
    16 | install ranger                                                                                         | 2022-03-31 14:53 | Install        |    1   
    15 | install kitty                                                                                          | 2022-03-31 14:41 | Install        |    4   
    14 | install fzf                                                                                            | 2022-03-31 14:33 | Install        |    1   
    13 | install exa                                                                                            | 2022-03-31 14:32 | Install        |    3   
    12 | install steam                                                                                          | 2022-03-31 13:38 | Install        |  176   
    11 | remove gnome-software                                                                                  | 2022-03-31 13:33 | Removed        |   17   
    10 | install discord                                                                                        | 2022-03-31 13:29 | Install        |   16  <
     9 | remove libreoffice*                                                                                    | 2022-03-31 13:21 | Removed        |   75 > 
     8 | install xclip                                                                                          | 2022-03-31 12:47 | Install        |    1   
     7 | group upgrade --with-optional Multimedia                                                               | 2022-03-31 12:03 | I, U           |    4   
     6 | install lame* --exclude=lame-devel                                                                     | 2022-03-31 12:03 | Install        |    1   
     5 | install gstreamer1-plugins-bad-* gstreamer1-plugins-good-* gstreamer1-plugins-base gstreamer1-plugin-o | 2022-03-31 12:02 | Install        |   68  <
     4 | install https://download1.rpmfusion.org/nonfree/fedora/rpmfusion-nonfree-release-35.noarch.rpm         | 2022-03-31 11:53 | Install        |    1 > 
     3 | install https://download1.rpmfusion.org/free/fedora/rpmfusion-free-release-35.noarch.rpm               | 2022-03-31 11:52 | Install        |    1  <
     2 | update                                                                                                 | 2022-03-31 11:46 | I, O, U        |  785 >E
     1 |                                                                                                        | 2021-10-26 11:10 | Install        | 1729 EE
